"year","min_slr","mean_slr","max_slr","delta_min_slr","delta_mean_slr","delta_max_slr"
2041,0.112,0.1952,0.2822,0.0028,0.0048,0.0071
2042,0.1148,0.2,0.2893,0.0028,0.0048,0.0071
2043,0.1175,0.2049,0.2963,0.0027,0.0049,0.007
2044,0.1202,0.2097,0.3034,0.0027,0.0048,0.0071
2045,0.123,0.2145,0.3105,0.0028,0.0048,0.0071
2046,0.1262,0.2208,0.32,0.0032,0.0063,0.0095
2047,0.1309,0.2256,0.3252,0.0047,0.0048,0.0052
2048,0.1362,0.2319,0.3326,0.0053,0.0063,0.0074
2049,0.1376,0.2363,0.3401,0.0014,0.0044,0.0075
2050,0.1426,0.2416,0.3458,0.005,0.0053,0.0057
2051,0.1456,0.2462,0.3521,0.003,0.0046,0.0063
2052,0.1483,0.2503,0.3578,0.0027,0.0041,0.0057
2053,0.1508,0.2545,0.364,0.0025,0.0042,0.0062
2054,0.1554,0.2603,0.371,0.0046,0.0058,0.007
2055,0.1585,0.2656,0.3786,0.0031,0.0053,0.0076
2056,0.1621,0.271,0.3861,0.0036,0.0054,0.0075
2057,0.1664,0.2774,0.3946,0.0043,0.0064,0.0085
2058,0.1686,0.2817,0.4012,0.0022,0.0043,0.0066
2059,0.1717,0.2863,0.4075,0.0031,0.0046,0.0063
2060,0.1739,0.2913,0.4155,0.0022,0.005,0.008
2061,0.1762,0.2958,0.4222,0.0023,0.0045,0.0067
2062,0.1765,0.2999,0.4303,0.0003,0.0041,0.0081
2063,0.1799,0.3051,0.4374,0.0034,0.0052,0.0071
2064,0.1845,0.3101,0.4429,0.0046,0.005,0.0055
2065,0.1865,0.3147,0.4503,0.002,0.0046,0.0074
2066,0.188,0.3196,0.4588,0.0015,0.0049,0.0085
2067,0.1891,0.3233,0.4653,0.0011,0.0037,0.0065
2068,0.1931,0.3287,0.4721,0.004,0.0054,0.0068
2069,0.1943,0.3333,0.4804,0.0012,0.0046,0.0083
2070,0.1961,0.3374,0.487,0.0018,0.0041,0.0066
2071,0.1977,0.3413,0.4933,0.0016,0.0039,0.0063
2072,0.2005,0.3467,0.5014,0.0028,0.0054,0.0081
2073,0.2025,0.3518,0.5097,0.002,0.0051,0.0083
2074,0.2034,0.356,0.5174,0.0009,0.0042,0.0077
2075,0.2062,0.3605,0.5236,0.0028,0.0045,0.0062
2076,0.2095,0.3657,0.5309,0.0033,0.0052,0.0073
2077,0.2109,0.3707,0.5397,0.0014,0.005,0.0088
2078,0.2108,0.3748,0.548,-0.0001,0.0041,0.0083
2079,0.2138,0.3795,0.5547,0.003,0.0047,0.0067
2080,0.2156,0.3838,0.5616,0.0018,0.0043,0.0069
2081,0.2182,0.3887,0.569,0.0026,0.0049,0.0074
2082,0.2228,0.394,0.5751,0.0046,0.0053,0.0061
2083,0.2241,0.3984,0.5826,0.0013,0.0044,0.0075
2084,0.2286,0.4044,0.5903,0.0045,0.006,0.0077
2085,0.2301,0.4088,0.5977,0.0015,0.0044,0.0074
2086,0.2288,0.4106,0.6028,-0.0013,0.0018,0.0051
2087,0.2315,0.4154,0.6097,0.0027,0.0048,0.0069
2088,0.2342,0.4205,0.6175,0.0027,0.0051,0.0078
2089,0.24,0.4268,0.6243,0.0058,0.0063,0.0068
2090,0.2443,0.4325,0.6314,0.0043,0.0057,0.0071
2091,0.2452,0.4366,0.6387,0.0009,0.0041,0.0073
2092,0.2474,0.4413,0.646,0.0022,0.0047,0.0073
2093,0.2513,0.4463,0.6524,0.0039,0.005,0.0064
2094,0.2526,0.4497,0.6579,0.0013,0.0034,0.0055
2095,0.257,0.4556,0.6653,0.0044,0.0059,0.0074
2096,0.2596,0.4585,0.6685,0.0026,0.0029,0.0032
2097,0.2649,0.4643,0.6749,0.0053,0.0058,0.0064
2098,0.2701,0.4701,0.6814,0.0052,0.0058,0.0065
2099,0.2753,0.476,0.6878,0.0052,0.0059,0.0064
2100,0.2806,0.4818,0.6943,0.0053,0.0058,0.0065
