year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.7244633199999999	0.024463320000000004	0.0048	0.1952	1.0
2042	0.7348739951640999	0.010410675164100002	0.0048	0.2	1.0106009144259234
2043	0.7450362460537365	0.010162250889636614	0.0049	0.2049	1.020543509521379
2044	0.7551708045703067	0.010134558516570205	0.0048	0.2097	1.0306227239973986
2045	0.7655568474417966	0.010386042871489915	0.0048	0.2145	1.0411770977096935
2046	0.7743638348169217	0.008806987375125128	0.0063	0.2208	1.0459138464704523
2047	0.7842218424100327	0.009858007593110956	0.0048	0.2256	1.0554705404675178
2048	0.7925109854875286	0.008289143077495991	0.0063	0.2319	1.059228864542377
2049	0.8033775925255014	0.01086660703797278	0.0044	0.2363	1.0714469926340286
2050	0.8130658324691395	0.009688239943638145	0.0053	0.2416	1.0797382151272823
2051	0.8198450878318784	0.006779255362738778	0.0046	0.2462	1.0838557409039389
2052	0.8300334121009547	0.010188324269076298	0.0041	0.2503	1.095359134468179
2053	0.8371608347780976	0.007127422677142845	0.0042	0.2545	1.1008902615395635
2054	0.8423136782982299	0.00515284352013229	0.0058	0.2603	1.099667512001833
2055	0.8478548688993427	0.005541190601112836	0.0053	0.2656	1.1001232220274455
2056	0.8530801434081997	0.005225274508856975	0.0054	0.271	1.0997930924217454
2057	0.8576693407231627	0.00458919731496299	0.0064	0.2774	1.0963717280146352
2058	0.864296774004239	0.006627433281076305	0.0043	0.2817	1.1007692239171971
2059	0.8704595820905081	0.006162808086269069	0.0046	0.2863	1.1037220226984712
2060	0.8765106804248077	0.00605109833429957	0.005	0.2913	1.1057079875189686
2061	0.8830361956864915	0.0065255152616837215	0.0045	0.2958	1.109535033877828
2062	0.8893676864169909	0.0063314907304994165	0.0041	0.2999	1.113751254133748
2063	0.8944329436762951	0.005065257259304136	0.0052	0.3051	1.11349666868336
2064	0.9001320835838595	0.005699139907564437	0.005	0.3101	1.1148176366800928
2065	0.9063877603950299	0.006255676811170328	0.0046	0.3147	1.1179459033643784
2066	0.9119531876124605	0.005565427217430559	0.0049	0.3196	1.1192031739748385
2067	0.9186876532682385	0.006734465655778092	0.0037	0.3233	1.1249365500489221
2068	0.9211482928164761	0.002460639548237627	0.0054	0.3287	1.1193828675232516
2069	0.9245230050712476	0.0033747122547714953	0.0046	0.3333	1.1170677859770215
2070	0.9281317349551401	0.0036087298838925357	0.0041	0.3374	1.1161395710459217
2071	0.9334568166562618	0.005325081701121674	0.0039	0.3413	1.1188321470232663
2072	0.9371860486041904	0.003729231947928643	0.0054	0.3467	1.1156753666666162
2073	0.9413123139507444	0.004126265346554005	0.0051	0.3518	1.1138355742293733
2074	0.9463871777054454	0.005074863754700976	0.0042	0.356	1.1154885581442628
2075	0.9514785485267251	0.005091370821279674	0.0045	0.3605	1.1166059052169444
2076	0.9559025271802928	0.004423978653567741	0.0052	0.3657	1.11513967599397
2077	0.9602876589462078	0.004385131765915034	0.005	0.3707	1.113977932470756
2078	0.9656948892587988	0.005407230312590982	0.0041	0.3748	1.116447837833914
2079	0.9711631499745568	0.005468260715758024	0.0047	0.3795	1.117899403976374
2080	0.9768916263125544	0.005728476337997649	0.0043	0.3838	1.120598393844022
2081	0.9786437052138572	0.0017520789013028184	0.0049	0.3887	1.114650652937478
2082	0.983023451914141	0.00437974670028378	0.0053	0.394	1.1129119091686557
2083	0.9855158574239157	0.0024924055097747086	0.0044	0.3984	1.109307664517382
2084	0.986156258827216	0.0006404014033003587	0.006	0.4044	1.0991811388463804
2085	0.9883622834147561	0.0022060245875400535	0.0044	0.4088	1.0950358007329057
2086	0.992991737303788	0.004629453889031857	0.0018	0.4106	1.1003818237466145
2087	0.9950246649383966	0.0020329276346086602	0.0048	0.4154	1.095153665548553
2088	0.9968518338837281	0.0018271689453315493	0.0051	0.4205	1.0889699174386924
2089	0.9974564682450547	0.0006046343613266493	0.0063	0.4268	1.0782089872486438
2090	0.9990436774852003	0.001587209240145551	0.0057	0.4325	1.0704382035868278
2091	1.0023154401258372	0.003271762640636888	0.0041	0.4366	1.0688733164539672
2092	1.0045663848495592	0.002250944723722093	0.0047	0.4413	1.0642460256825643
2093	1.006448324596937	0.0018819397473776476	0.005	0.4463	1.0583547044162007
2094	1.0103970477163375	0.003948723119400694	0.0034	0.4497	1.0593914721245705
2095	1.0121311395536408	0.001734091837303124	0.0059	0.4556	1.0515203274499372
2096	1.0165603487134796	0.004429209159838738	0.0029	0.4585	1.0544096437922048
2097	1.0182218333014477	0.0016614845879680622	0.0058	0.4643	1.046590255492196
2098	1.0175198761547555	-0.0007019571466921743	0.0058	0.4701	1.03430533624502
2099	1.0169448721202399	-0.0005750040345155495	0.0059	0.476	1.0220713427112993
2100	1.016356598852369	-0.0005882732678707842	0.0058	0.4818	1.010001219907643
