year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.71210674	0.01210674	0.0084	0.2126	1.0
2042	0.7141721101188	0.0020653701188000006	0.0084	0.221	0.9873182294172849
2043	0.7162729516430754	0.0021008415242753675	0.0084	0.2294	0.9747074717011335
2044	0.7188758769142748	0.002602925271199415	0.0085	0.2379	0.9629016755895523
2045	0.7217453638384425	0.0028694869241676366	0.0084	0.2463	0.9518297267389075
2046	0.7195397830282131	-0.002205580810229402	0.0116	0.2579	0.9241912992569692
2047	0.7219054431452527	0.002365660117039658	0.0069	0.2648	0.9151136642225344
2048	0.7236362070653336	0.0017307639200808958	0.0077	0.2725	0.9031634028908871
2049	0.7258418316568775	0.0022056245915439377	0.0074	0.2799	0.8927643932429773
2050	0.7289514087205108	0.0031095770636331886	0.0065	0.2864	0.8859768513243902
2051	0.7325259351659376	0.0035745264454268098	0.0061	0.2925	0.8809209164343561
2052	0.7351605773541411	0.0026346421882035443	0.0074	0.2999	0.8713807892845272
2053	0.7388074939802645	0.0036469166261234214	0.0064	0.3063	0.8658691852291412
2054	0.7415471729870455	0.0027396790067810615	0.0073	0.3136	0.8567395366617988
2055	0.7442765837543073	0.002729410767261694	0.0072	0.3208	0.8477895288346006
2056	0.7465790991521905	0.0023025153978831437	0.0079	0.3287	0.8365835046634016
2057	0.7467076311304219	0.00012853197823152127	0.0103	0.339	0.8162204800888612
2058	0.7487829094958839	0.0020752783654619947	0.0086	0.3476	0.8031581505704686
2059	0.7508650915460553	0.0020821820501714175	0.0086	0.3562	0.7901096420561919
2060	0.7502539644133033	-0.0006111271327520268	0.0096	0.3658	0.7696672209334018
2061	0.7491508891723682	-0.001103075240935066	0.0102	0.376	0.7470387470094362
2062	0.749623257356768	0.0004723681843998638	0.0088	0.3848	0.7303670364022878
2063	0.7505785880933459	0.0009553307365778552	0.0088	0.3936	0.7146622047449168
2064	0.7499873002209199	-0.0005912878724260548	0.0105	0.4041	0.692457723835558
2065	0.7498626467959827	-0.00012465342493717677	0.0099	0.414	0.6723886184118011
2066	0.749003481299765	-0.0008591654962177139	0.0107	0.4247	0.6492474582019955
2067	0.7495698918478347	0.0005664105480696915	0.0094	0.4341	0.6315628330617417
2068	0.7497079343552204	0.0001380425073856939	0.0104	0.4445	0.6110186508298576
2069	0.748613105637328	-0.001094828717892482	0.01	0.4545	0.5888070812364373
2070	0.7474200665587358	-0.0011930390785921583	0.0101	0.4646	0.5661986994584615
2071	0.7461277891200777	-0.001292277438658073	0.011	0.4756	0.5415898674762181
2072	0.7442303443560507	-0.0018974447640270281	0.0118	0.4874	0.5141679256541178
2073	0.7424432069026132	-0.0017871374534375079	0.0118	0.4992	0.4869668163088516
2074	0.7429780688111185	0.0005348619085052187	0.0101	0.5093	0.4678176490894168
2075	0.7430342374906107	5.6168679492248595e-05	0.0108	0.5201	0.44630876750654197
2076	0.7406175745274153	-0.0024166629631953806	0.0114	0.5315	0.4186481538315486
2077	0.7387572860507575	-0.001860288476657705	0.0108	0.5423	0.3933025729557874
2078	0.7373187096435476	-0.0014385764072098735	0.0106	0.5529	0.369201644093026
2079	0.7350417976474324	-0.002276911996115218	0.0117	0.5646	0.34122021586221724
2080	0.7332652893764604	-0.0017765082709720113	0.0113	0.5759	0.31504137336857646
2081	0.7325395443162568	-0.0007257450602035655	0.0104	0.5863	0.2927679100311174
2082	0.7327232057000618	0.00018366138380499636	0.0099	0.5962	0.2733160431430051
2083	0.7316146685477706	-0.0011085371522912154	0.0113	0.6075	0.2484744621219136
2084	0.7304781148904965	-0.0011365536572740705	0.0114	0.6189	0.2233765952597487
2085	0.7288199895439413	-0.001658125346555186	0.0119	0.6308	0.19623356742682055
2086	0.7288813797517555	6.139020781416359e-05	0.0105	0.6413	0.17533573170955713
2087	0.7292611497223546	0.0003797699705991092	0.0104	0.6517	0.15527548181302744
2088	0.7295255266521034	0.0002643769297487682	0.0108	0.6625	0.13418342793953766
2089	0.7298321357349248	0.0003066090828213971	0.0108	0.6733	0.11317592178020416
2090	0.7269961423775115	-0.0028359933574131965	0.0123	0.6856	0.08287404165459619
2091	0.7248863667406397	-0.0021097756368719162	0.0117	0.6973	0.05522721623463907
2092	0.7221131495656783	-0.002773217174961336	0.0126	0.7099	0.024450419959655235
2093	0.7205808355086168	-0.0015323140570613928	0.0119	0.7218	-0.0024407368184524423
2094	0.7190279802271653	-0.0015528552814516009	0.0121	0.7339	-0.029773411611692568
2095	0.7165853997443027	-0.0024425804828626155	0.0129	0.7468	-0.060488873995368585
2096	0.7202133385304128	0.00362793878611011	0.0068	0.7536	-0.06683926120714057
2097	0.717433912426731	-0.002779426103681734	0.0134	0.767	-0.09923006759281962
2098	0.7151911212741014	-0.002242791152629576	0.0135	0.7805	-0.13074674172744602
2099	0.7113735462996524	-0.0038175749744490035	0.0135	0.794	-0.16541609368543778
2100	0.7076973793417144	-0.0036761669579379952	0.0134	0.8074	-0.19960215283238344
