year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.71148501	0.01148501000000001	0.0071	0.2822	1.0
2042	0.71382269963045	0.002337689630450002	0.0071	0.2893	0.9889064135513373
2043	0.7163098626625638	0.002487163032113835	0.007	0.2963	0.9783939640998968
2044	0.7187608556446358	0.002450992982071966	0.0071	0.3034	0.96756431268037
2045	0.7215387604809564	0.0027779048363207205	0.0071	0.3105	0.9574961876282531
2046	0.7220329629073562	0.0004942024263997068	0.0095	0.32	0.9365175898113848
2047	0.7266271559213971	0.0045941930140409055	0.0052	0.3252	0.9351063898583303
2048	0.729068743823111	0.0024415879017138497	0.0074	0.3326	0.9235559933087603
2049	0.7320547023195487	0.00298595849643764	0.0075	0.3401	0.9130407379459831
2050	0.7367519137011088	0.004697211381560043	0.0057	0.3458	0.9107047872487065
2051	0.7385570149413482	0.0018051012402394116	0.0063	0.3521	0.9002341240411543
2052	0.7429984674350666	0.004441452493718419	0.0057	0.3578	0.8973023945911054
2053	0.7451005095652932	0.0021020421302265927	0.0062	0.364	0.8877563872199805
2054	0.7462256446032917	0.0011251350379985175	0.007	0.371	0.8740711552059358
2055	0.7467923331481607	0.0005666885448691226	0.0076	0.3786	0.8576873745210921
2056	0.7474133095684846	0.0006209764203238292	0.0075	0.3861	0.841663000458564
2057	0.7473861564418804	-2.7153126604212603e-05	0.0085	0.3946	0.8217993832160142
2058	0.7492946298521533	0.0019084734102728605	0.0066	0.4012	0.8108706843785516
2059	0.7514811212079314	0.0021864913557781045	0.0063	0.4075	0.8012884521822261
2060	0.7522972376996822	0.0008161164917507766	0.008	0.4155	0.7845539207150098
2061	0.7545099816915096	0.0022127439918274427	0.0067	0.4222	0.774101060951347
2062	0.7549962794551163	0.00048629776360662076	0.0081	0.4303	0.7563652862118718
2063	0.7564338700102886	0.001437590555172353	0.0071	0.4374	0.7431749597086761
2064	0.7598289939729334	0.0033951239626447928	0.0055	0.4429	0.7382717462529925
2065	0.7615525011644992	0.0017235071915659367	0.0074	0.4503	0.7250486131917331
2066	0.7619981858787034	0.0004456847142041945	0.0085	0.4588	0.7062864502972126
2067	0.7644748767801638	0.00247669090146046	0.0065	0.4653	0.6969143338598378
2068	0.7649844559933283	0.0005095792131645247	0.0068	0.4721	0.682261083361211
2069	0.7641652642050627	-0.000819191788265566	0.0083	0.4804	0.6610183388538601
2070	0.7649034145682199	0.0007381503631572147	0.0066	0.487	0.6473634254506578
2071	0.7669451267694902	0.0020417122012704046	0.0063	0.4933	0.6374439367670682
2072	0.7672232948281897	0.00027816805869956807	0.0081	0.5014	0.6192233333006195
2073	0.767407521402747	0.0001842265745573479	0.0083	0.5097	0.600318006451581
2074	0.7682907267550634	0.0008832053523163555	0.0077	0.5174	0.5844385918694516
2075	0.7709865098515085	0.002695783096445141	0.0062	0.5236	0.576275677204542
2076	0.7726712570164608	0.001684747164952269	0.0073	0.5309	0.5631951998893713
2077	0.7727536126991967	8.235568273590719e-05	0.0088	0.5397	0.5428878420404123
2078	0.7734356717898485	0.0006820590906517659	0.0083	0.548	0.5251421935041443
2079	0.7763336484824601	0.002897976692611578	0.0067	0.5547	0.5162855523011627
2080	0.7789869433086887	0.002653294826228606	0.0069	0.5616	0.5063930448181471
2081	0.7788911455224685	-9.579778622016656e-05	0.0074	0.569	0.4889319231586227
2082	0.782154082140508	0.0032629366180394774	0.0061	0.5751	0.4823231124247922
2083	0.7822118828856256	5.7800745117617125e-05	0.0075	0.5826	0.46498684611798025
2084	0.7819251755752116	-0.0002867073104139792	0.0077	0.5903	0.4463821729419612
2085	0.7819842843646242	5.91087894125839e-05	0.0074	0.5977	0.4292818991388127
2086	0.7842628197484228	0.002278535383798675	0.0051	0.6028	0.4227094250237688
2087	0.7850697523790342	0.0008069326306114166	0.0069	0.6097	0.40851590037824564
2088	0.7850576747695482	-1.2077609485924064e-05	0.0078	0.6175	0.3903180191862469
2089	0.7860457815207373	0.000988106751189098	0.0068	0.6243	0.37677947692778135
2090	0.7870499449567085	0.0010041634359711999	0.0071	0.6314	0.3625795015686865
2091	0.787970413572436	0.0009204686157275193	0.0073	0.6387	0.347718671966757
2092	0.7885762991588875	0.0006058855864514228	0.0073	0.646	0.33212503543715044
2093	0.7900361737245163	0.0014598745656287933	0.0064	0.6524	0.3206172368434582
2094	0.7927610997395809	0.002724926015064525	0.0055	0.6579	0.3141528276041617
2095	0.7938203663578335	0.001059266618252657	0.0074	0.6653	0.2993823761929947
2096	0.7988145059288451	0.0049941395710115435	0.0032	0.6685	0.3035617431152443
2097	0.8006606228565132	0.0018461169276681563	0.0064	0.6749	0.29295367862137356
2098	0.8007408520056115	8.022914909830078e-05	0.0065	0.6814	0.2779991130032971
2099	0.8010628838376984	0.0003220318320869284	0.0064	0.6878	0.2638407612641738
2100	0.8011571970581415	9.431322044307347e-05	0.0065	0.6943	0.24891900385280505
