year	elevation	dz_dt	dslr_dt	msl	norm_diff
2041	0.7222775149999999	0.022277515000000015	0.0071	0.2822	1.0
2042	0.7305190971685124	0.008241582168512503	0.0071	0.2893	1.0025940479338338
2043	0.7387677332377716	0.0082486360692592	0.007	0.2963	1.0054313573320637
2044	0.7468486150765187	0.008080881838747165	0.0071	0.3034	1.007660241574757
2045	0.7552449586585959	0.0083963435820772	0.0071	0.3105	1.0106059580403601
2046	0.7612480808331225	0.0060031221745266185	0.0095	0.32	1.0026599082962067
2047	0.7710990927626974	0.009851011929574886	0.0052	0.3252	1.0132285280757811
2048	0.7786936908757648	0.007594598113067408	0.0074	0.3326	1.0136707186136626
2049	0.7869591889318385	0.008265498056073703	0.0075	0.3401	1.015410180481133
2050	0.7967416376650764	0.009782448733237931	0.0057	0.3458	1.0246868387835641
2051	0.8023472896370679	0.005605651971991442	0.0063	0.3521	1.0231090530427758
2052	0.811494081269856	0.009146791632788042	0.0057	0.3578	1.0309412905811743
2053	0.817227208813208	0.005733127543351947	0.0062	0.364	1.029880403712987
2054	0.8217997959147607	0.004572587101552674	0.007	0.371	1.0243645279508562
2055	0.8257154789485408	0.003915683033780102	0.0076	0.3786	1.0159925551946023
2056	0.8295588453846903	0.0038433664361494815	0.0075	0.3861	1.007683488179782
2057	0.8328136070845957	0.0032547616999054536	0.0085	0.3946	0.9957645918005963
2058	0.8379455289747145	0.00513192189011885	0.0066	0.4012	0.9924286383382133
2059	0.8432416694226982	0.00529614044798367	0.0063	0.4075	0.9901475412182744
2060	0.8472027046522072	0.003961035229509002	0.008	0.4155	0.9809696926965407
2061	0.8524862199172568	0.005283515265049642	0.0067	0.4222	0.9777509762507564
2062	0.8558469544259217	0.0033607345086649216	0.0081	0.4303	0.9669818155238442
2063	0.8600626134924211	0.004215659066499294	0.0071	0.4374	0.9604276498707759
2064	0.8663049865032616	0.006242373010840494	0.0055	0.4429	0.9621145640746077
2065	0.8708688161366054	0.004563829633343823	0.0074	0.4503	0.955669857699059
2066	0.8740070338863862	0.003138217749780814	0.0085	0.4588	0.9434861353604633
2067	0.8791470875854689	0.005140053699082624	0.0065	0.4653	0.9403958927223741
2068	0.881401225528377	0.0022541379429080457	0.0068	0.4721	0.9300662078324474
2069	0.8823415708709927	0.0009403453426157404	0.0083	0.4804	0.9133426661686926
2070	0.8847343158224441	0.0023927449514513565	0.0066	0.487	0.9037824071117203
2071	0.8889831719235963	0.004248856101152254	0.0063	0.4933	0.8991215375400318
2072	0.891389048758936	0.002405876835339652	0.0081	0.5014	0.8861826279830182
2073	0.8937301024760217	0.0023410537170857225	0.0083	0.5097	0.8726419537158624
2074	0.8967734521050923	0.003043349629070568	0.0077	0.5174	0.8620605215540094
2075	0.9016638251354723	0.004890373030379994	0.0062	0.5236	0.8590846208888278
2076	0.9055098136920631	0.0038459885565907933	0.0073	0.5309	0.8512359775801386
2077	0.9076707340844321	0.0021609203923690333	0.0088	0.5397	0.8361498180256545
2078	0.9104976728825201	0.0028269387980880507	0.0083	0.548	0.8237132335255078
2079	0.9156526795092146	0.005155006626694477	0.0067	0.5547	0.8202025034367291
2080	0.9204887320218363	0.00483605251262173	0.0069	0.5616	0.8155125399256911
2081	0.9214213104972534	0.0009325784754170116	0.0074	0.569	0.8008164436605072
2082	0.9266977770750374	0.005276466577784067	0.0061	0.5751	0.7989451064661587
2083	0.9277891626284621	0.001091385553424683	0.0075	0.5826	0.7843826391095263
2084	0.928448184045247	0.0006590214167848762	0.0077	0.5903	0.7683832336792917
2085	0.9294162605033337	0.0009680764580867101	0.0074	0.5977	0.7537678004370065
2086	0.932536999316699	0.0031207388133653183	0.0051	0.6028	0.7492702718899398
2087	0.9342879240240574	0.0017509247073584347	0.0069	0.6097	0.7375698893047453
2088	0.9352625294566668	0.0009746054326093888	0.0078	0.6175	0.7220603612449201
2089	0.9371916580285826	0.0019291285719158452	0.0068	0.6243	0.7109921488003829
2090	0.9392093871600041	0.0020177291314215267	0.0071	0.6314	0.6994435677087575
2091	0.9411419220510409	0.0019325348910366814	0.0073	0.6387	0.687246932057051
2092	0.942656807274294	0.001514885223253204	0.0073	0.646	0.6741012598071366
2093	0.9449915018094118	0.002334694535117785	0.0064	0.6524	0.6648635566155019
2094	0.9487098974210523	0.003718395611640447	0.0055	0.6579	0.6608151689391636
2095	0.9508069015341842	0.002097004113131987	0.0074	0.6653	0.6487650284386474
2096	0.9567216144055019	0.005914712871317581	0.0032	0.6685	0.6549337436735478
2097	0.9595274716567892	0.002805857251287316	0.0064	0.6749	0.6467666762224586
2098	0.959766256131918	0.0002387844751288394	0.0065	0.6814	0.6325391474088787
2099	0.9603029779559189	0.0005367218240009009	0.0064	0.6878	0.6192158623598821
2100	0.9605829100942954	0.00027993213837655467	0.0065	0.6943	0.6050818344906702
