slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
mean	0.7	0.05	0.5	1	1200	0.005	0.6	2101	0.53	0.423	-0.008	-0.026	33.963	2135.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.05	0.5	1	1200	0.005	0.6	2100	0.456	0.006	-0.023	-0.036	13.768	2100.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.5	5	800	0.003	0.6	2101	0.403	0.613	0.001	-0.01	107.459	2208.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.5	5	800	0.003	0.6	2101	0.298	0.19	-0.01	-0.028	13.885	2115.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.5	5	800	0.003	0.6	2085	0.17	0.015	-0.021	-0.037	11.965	2085.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.5	5	800	0.005	0.6	2101	0.346	0.557	-0.001	-0.011	88.637	2190.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.5	5	800	0.005	0.6	2101	0.243	0.135	-0.012	-0.029	9.497	2110.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.5	5	800	0.005	0.6	2083	0.116	0.014	-0.022	-0.023	17.334	2083.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.5	5	1200	0.003	0.6	2101	0.255	0.465	-0.003	-0.01	80.228	2181.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.5	5	1200	0.003	0.6	2101	0.125	0.017	-0.016	-0.029	1.205	2102.0	2.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.5	10	400	0.003	0.6	2101	0.397	0.29	-0.007	-0.037	15.476	2116.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.5	10	400	0.003	0.6	2094	0.287	0.025	-0.018	-0.034	11.587	2094.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	10	400	0.005	0.6	2101	0.441	0.651	0.002	-0.018	59.923	2161.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.5	10	400	0.005	0.6	2101	0.351	0.243	-0.008	-0.039	12.216	2113.0	2.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.0	1	400	0.003	0.4	2101	0.318	0.21	-0.011	-0.023	17.615	2119.0	2.0	No nourishment | Conservation
high	0.7	0.1	0.0	1	400	0.003	0.4	2086	0.194	0.006	-0.023	-0.03	13.099	2086.0	1.0	No nourishment | Conservation
low	0.7	0.1	0.0	1	400	0.005	0.4	2101	0.365	0.575	-0.002	-0.008	120.886	2222.0	4.0	No nourishment | Conservation
mean	0.7	0.05	0.5	5	1200	0.005	0.4	2084	-0.149	0.004	-0.023	-0.025	10.085	2084.0	1.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.0	1	400	0.005	0.4	2101	0.264	0.157	-0.013	-0.023	12.872	2114.0	2.0	No nourishment | Conservation
high	0.7	0.1	0.0	1	400	0.005	0.4	2083	0.141	0.007	-0.024	-0.029	13.696	2083.0	1.0	No nourishment | Conservation
mean	0.7	0.1	0.0	1	800	0.003	0.4	2094	0.018	0.009	-0.019	-0.024	9.876	2094.0	1.0	No nourishment | Conservation
high	0.7	0.1	0.0	1	800	0.003	0.4	2071	-0.16	0.008	-0.034	-0.031	12.061	2071.0	1.0	No nourishment | Conservation
low	0.7	0.1	0.0	1	800	0.005	0.4	2101	0.083	0.293	-0.009	-0.01	50.248	2151.0	3.0	No nourishment | Conservation
mean	0.7	0.1	0.0	1	800	0.005	0.4	2089	-0.063	0.004	-0.021	-0.027	8.707	2089.0	1.0	No nourishment | Conservation
low	0.7	0.1	0.0	1	1200	0.003	0.4	2101	0.007	0.218	-0.011	-0.011	33.032	2134.0	3.0	No nourishment | Conservation
mean	0.7	0.1	0.0	1	800	0.003	0.6	2101	0.201	0.094	-0.014	-0.024	7.677	2109.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.0	1	800	0.003	0.6	2079	0.055	0.01	-0.026	-0.031	12.654	2079.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.0	1	800	0.005	0.6	2101	0.255	0.465	-0.004	-0.008	95.889	2197.0	4.0	No Nourishment | Marsh Restoration
low	0.7	0.05	0.5	10	1200	0.003	0.4	2101	-0.056	0.154	-0.012	-0.019	14.278	2115.0	2.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.5	10	1200	0.003	0.4	2079	-0.234	0.01	-0.025	-0.028	10.575	2079.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.5	10	1200	0.005	0.4	2101	-0.157	0.053	-0.015	-0.022	4.275	2105.0	2.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.0	1	800	0.005	0.6	2101	0.136	0.029	-0.016	-0.025	2.288	2103.0	2.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.3	1	800	0.003	0.4	2101	0.571	0.782	0.002	-0.008	158.382	2259.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.3	1	800	0.003	0.4	2101	0.493	0.386	-0.007	-0.024	31.742	2133.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.3	1	800	0.003	0.4	2098	0.404	0.005	-0.022	-0.04	10.72	2098.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.3	1	800	0.005	0.4	2101	0.529	0.74	0.001	-0.009	143.421	2244.0	4.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.5	1	800	0.003	0.6	2101	0.701	0.912	0.002	-0.01	158.383	2259.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.5	1	800	0.003	0.6	2101	0.643	0.536	-0.007	-0.025	42.577	2144.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.05	0.5	1	800	0.003	0.6	2101	0.577	0.099	-0.023	-0.052	4.71	2106.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.5	1	800	0.005	0.6	2101	0.672	0.882	0.001	-0.01	151.371	2252.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.5	1	800	0.005	0.6	2101	0.614	0.507	-0.008	-0.026	39.98	2141.0	3.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.3	1	800	0.005	0.4	2101	0.456	0.349	-0.008	-0.025	28.439	2129.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.0	1	1200	0.005	0.4	2063	-0.465	0.003	-0.047			2063.0	1.0	No nourishment | Conservation
high	0.7	0.1	0.3	1	800	0.005	0.4	2096	0.369	0.0	-0.022	-0.044	9.09	2096.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.3	1	1200	0.003	0.4	2101	0.463	0.674	0.001	-0.008	152.995	2254.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.3	1	1200	0.003	0.4	2101	0.369	0.262	-0.01	-0.024	22.187	2123.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.3	1	1200	0.003	0.4	2090	0.257	0.012	-0.022	-0.038	9.419	2090.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.3	1	1200	0.005	0.4	2101	0.412	0.623	0.0	-0.008	131.906	2233.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.3	1	1200	0.005	0.4	2101	0.32	0.213	-0.011	-0.025	17.74	2119.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.3	1	1200	0.005	0.4	2087	0.209	0.005	-0.023	-0.033	12.032	2087.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.3	5	400	0.003	0.4	2101	0.527	0.738	0.002	-0.009	134.922	2236.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.3	5	400	0.003	0.4	2101	0.442	0.335	-0.008	-0.025	25.719	2127.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.3	5	400	0.003	0.4	2095	0.342	0.002	-0.02	-0.041	8.204	2095.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.3	5	400	0.005	0.4	2101	0.482	0.693	0.001	-0.01	117.562	2219.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.3	5	400	0.005	0.4	2101	0.4	0.292	-0.009	-0.026	21.843	2123.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.3	5	400	0.005	0.4	2093	0.302	0.019	-0.02	-0.04	9.018	2093.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.3	5	800	0.003	0.4	2101	0.307	0.518	-0.002	-0.009	101.722	2203.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.3	5	800	0.003	0.4	2101	0.186	0.079	-0.014	-0.026	5.994	2107.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.5	5	1200	0.003	0.6	2075	-0.036	0.006	-0.027	-0.037	10.861	2075.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.5	5	1200	0.005	0.6	2101	0.183	0.394	-0.005	-0.012	59.882	2161.0	3.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.5	5	1200	0.005	0.6	2098	0.053	0.024	-0.017	-0.019	13.276	2098.0	1.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.5	5	1200	0.005	0.6	2073	-0.107	0.018	-0.029	-0.026	13.869	2073.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.5	10	400	0.003	0.6	2101	0.49	0.7	0.003	-0.016	72.407	2173.0	4.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.3	5	800	0.003	0.4	2078	0.037	0.026	-0.025	-0.028	14.463	2078.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.3	5	800	0.005	0.4	2101	0.241	0.452	-0.004	-0.01	79.637	2181.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.3	5	800	0.005	0.4	2101	0.12	0.013	-0.016	-0.028	0.932	2102.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.3	5	800	0.005	0.4	2075	-0.029	0.0	-0.027	-0.034	11.157	2075.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.3	5	1200	0.003	0.4	2101	0.15	0.361	-0.006	-0.01	62.431	2163.0	3.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.5	10	400	0.005	0.6	2090	0.243	0.02	-0.019	-0.05	8.676	2090.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	10	800	0.003	0.6	2101	0.255	0.466	-0.003	-0.016	49.555	2151.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.5	10	800	0.003	0.6	2101	0.125	0.017	-0.015	-0.038	0.912	2102.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.5	10	800	0.003	0.6	2076	-0.036	0.018	-0.025	-0.018	19.13	2076.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	10	800	0.005	0.6	2101	0.183	0.394	-0.004	-0.019	36.731	2138.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.5	10	800	0.005	0.6	2098	0.053	0.014	-0.016	-0.017	13.638	2098.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.3	5	1200	0.005	0.4	2101	0.068	0.278	-0.009	-0.012	41.918	2143.0	3.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.3	5	1200	0.005	0.4	2088	-0.08	0.013	-0.021	-0.026	9.548	2088.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.3	10	400	0.003	0.4	2101	0.474	0.685	0.001	-0.011	102.241	2203.0	4.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	10	800	0.005	0.6	2074	-0.108	0.017	-0.029	-0.023	15.43	2074.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	10	1200	0.003	0.6	2101	0.095	0.306	-0.007	-0.017	30.925	2132.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.5	10	1200	0.003	0.6	2089	-0.061	0.013	-0.02	-0.031	6.186	2089.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	10	1200	0.005	0.6	2101	0.008	0.218	-0.01	-0.02	19.189	2120.0	2.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.5	10	1200	0.005	0.6	2085	-0.148	0.011	-0.022	-0.02	12.58	2085.0	1.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	400	0.003	0.4	2101	0.38	0.273	-0.009	-0.028	18.428	2119.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.3	10	400	0.003	0.4	2092	0.268	0.019	-0.021	-0.043	8.372	2092.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	10	400	0.005	0.4	2101	0.424	0.634	0.0	-0.012	86.058	2187.0	4.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	10	800	0.003	0.4	2101	0.235	0.446	-0.004	-0.011	66.778	2168.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.3	10	800	0.003	0.4	2100	0.101	0.012	-0.017	-0.023	10.999	2100.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.5	10	1200	0.003	0.4	2068	-0.222	0.015	-0.035			2068.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.5	10	1200	0.005	0.4	2066	-0.307	0.01	-0.038			2066.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.0	1	800	0.003	0.4	2101	0.164	0.374	-0.007	-0.009	73.462	2174.0	4.0	No nourishment | Conservation
low	0.7	0.1	0.0	1	400	0.003	0.4	2101	0.419	0.63	-0.001	-0.007	141.558	2243.0	4.0	No nourishment | Conservation
high	0.7	0.1	0.3	10	800	0.005	0.4	2072	-0.137	0.022	-0.032	-0.034	11.261	2072.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	10	1200	0.003	0.4	2101	0.076	0.287	-0.009	-0.013	37.827	2139.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.3	10	1200	0.003	0.4	2088	-0.083	0.004	-0.021	-0.025	9.34	2088.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	10	1200	0.005	0.4	2101	-0.013	0.197	-0.011	-0.015	22.534	2124.0	2.0	Nourishment (10 years) | Conservation
mean	0.7	0.1	0.3	10	1200	0.005	0.4	2083	-0.172	0.01	-0.024	-0.027	9.943	2083.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.3	1	800	0.003	0.6	2101	0.515	0.036	-0.022	-0.05	1.711	2103.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.3	1	800	0.005	0.6	2101	0.618	0.829	0.001	-0.009	147.734	2249.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.3	1	800	0.005	0.6	2101	0.558	0.451	-0.008	-0.025	35.907	2137.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.1	0.3	1	800	0.005	0.6	2101	0.487	0.008	-0.023	-0.05	0.394	2101.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.3	1	1200	0.003	0.6	2101	0.571	0.782	0.002	-0.008	158.382	2259.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.3	1	1200	0.003	0.6	2101	0.493	0.386	-0.007	-0.024	31.742	2133.0	3.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.1	0.0	1	1200	0.003	0.4	2083	-0.162	0.005	-0.024	-0.028	9.831	2083.0	1.0	No nourishment | Conservation
low	0.7	0.1	0.0	1	1200	0.005	0.4	2101	-0.089	0.122	-0.014	-0.013	15.877	2117.0	2.0	No nourishment | Conservation
mean	0.7	0.1	0.0	1	1200	0.005	0.4	2078	-0.258	0.009	-0.027	-0.029	10.823	2078.0	1.0	No nourishment | Conservation
high	0.7	0.1	0.0	1	1200	0.003	0.4	2065	-0.369	0.008	-0.042			2065.0	1.0	No nourishment | Conservation
mean	0.7	0.1	0.3	10	400	0.005	0.4	2101	0.332	0.225	-0.01	-0.03	14.6	2116.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.3	10	400	0.005	0.4	2089	0.222	0.001	-0.021	-0.034	9.38	2089.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.0	1	400	0.003	0.6	2101	0.536	0.747	0.001	-0.008	153.882	2255.0	4.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.3	5	800	0.005	0.4	2101	0.431	0.642	0.0	-0.009	119.572	2221.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.0	1	400	0.003	0.6	2101	0.454	0.346	-0.008	-0.022	28.604	2130.0	3.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.0	1	400	0.003	0.6	2095	0.356	0.012	-0.021	-0.04	8.955	2095.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.0	1	400	0.005	0.6	2101	0.492	0.703	0.0	-0.008	136.837	2238.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.1	0.0	1	400	0.005	0.6	2101	0.412	0.304	-0.01	-0.023	24.775	2126.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.0	1	400	0.005	0.6	2093	0.317	0.015	-0.021	-0.04	8.701	2093.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.0	1	800	0.003	0.6	2101	0.32	0.531	-0.003	-0.007	120.014	2221.0	4.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.3	1	1200	0.003	0.6	2098	0.404	0.005	-0.022	-0.04	10.72	2098.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.3	1	1200	0.005	0.6	2101	0.529	0.74	0.001	-0.009	143.421	2244.0	4.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.1	0.3	5	400	0.005	0.6	2101	0.581	0.792	0.001	-0.01	125.697	2227.0	4.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.0	1	800	0.005	0.6	2076	-0.01	0.018	-0.028	-0.03	12.304	2076.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.0	1	1200	0.003	0.6	2101	0.164	0.374	-0.007	-0.009	73.462	2174.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.1	0.0	1	1200	0.003	0.6	2094	0.018	0.009	-0.019	-0.024	9.876	2094.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.0	1	1200	0.003	0.6	2071	-0.16	0.008	-0.034	-0.031	12.061	2071.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.1	0.0	1	1200	0.005	0.6	2101	0.083	0.293	-0.009	-0.01	50.248	2151.0	3.0	No Nourishment | Marsh Restoration
mean	0.7	0.1	0.0	1	1200	0.005	0.6	2089	-0.063	0.004	-0.021	-0.027	8.707	2089.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.0	1	1200	0.005	0.6	2068	-0.241	0.006	-0.037			2068.0	1.0	No Nourishment | Marsh Restoration
high	0.7	0.1	0.3	10	400	0.003	0.6	2098	0.409	0.02	-0.019	-0.034	12.114	2098.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.3	10	400	0.005	0.6	2101	0.536	0.747	0.001	-0.012	96.557	2198.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	400	0.005	0.6	2101	0.461	0.354	-0.008	-0.029	22.628	2124.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.3	10	400	0.005	0.6	2097	0.373	0.015	-0.02	-0.034	10.956	2097.0	1.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	400	0.005	0.6	2101	0.513	0.406	-0.007	-0.025	29.852	2131.0	3.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.3	5	400	0.005	0.6	2099	0.435	0.026	-0.02	-0.031	14.223	2099.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.3	5	800	0.003	0.6	2101	0.446	0.657	0.001	-0.009	127.217	2228.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	800	0.003	0.6	2101	0.348	0.241	-0.01	-0.025	18.712	2120.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.3	5	800	0.003	0.6	2089	0.23	0.012	-0.021	-0.033	10.293	2089.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.3	5	800	0.005	0.6	2101	0.393	0.604	-0.001	-0.009	107.214	2208.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	800	0.005	0.6	2101	0.297	0.19	-0.011	-0.026	14.324	2115.0	2.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.1	0.3	5	1200	0.005	0.6	2101	0.12	0.013	-0.016	-0.028	0.932	2102.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.1	0.3	5	1200	0.005	0.6	2075	-0.029	0.0	-0.027	-0.034	11.157	2075.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.1	0.3	10	400	0.003	0.6	2101	0.577	0.788	0.002	-0.011	110.624	2212.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	400	0.003	0.6	2101	0.498	0.391	-0.007	-0.028	25.94	2127.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.3	10	800	0.005	0.6	2080	0.086	0.008	-0.024	-0.038	11.554	2080.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.5	1	1200	0.003	0.4	2097	0.398	0.025	-0.021	-0.042	10.515	2097.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.5	1	1200	0.005	0.4	2101	0.525	0.735	0.001	-0.009	143.256	2244.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.5	1	1200	0.005	0.4	2101	0.451	0.344	-0.008	-0.025	28.098	2129.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.5	1	1200	0.005	0.4	2095	0.363	0.019	-0.022	-0.046	9.243	2095.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.5	5	800	0.003	0.4	2101	0.376	0.587	0.0	-0.009	110.665	2212.0	4.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.5	10	800	0.003	0.4	2101	0.276	0.487	-0.003	-0.013	64.248	2165.0	3.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.3	10	1200	0.003	0.6	2101	0.235	0.446	-0.004	-0.011	66.778	2168.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	1200	0.003	0.6	2100	0.101	0.012	-0.017	-0.023	10.999	2100.0	1.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.5	10	800	0.003	0.4	2101	0.149	0.042	-0.015	-0.033	2.562	2104.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.5	10	800	0.003	0.4	2077	-0.007	0.01	-0.026	-0.023	14.641	2077.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.3	10	1200	0.003	0.6	2075	-0.063	0.007	-0.029	-0.026	13.06	2075.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.1	0.3	10	1200	0.005	0.6	2101	0.161	0.372	-0.006	-0.013	49.012	2150.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.1	0.3	10	1200	0.005	0.6	2096	0.027	0.002	-0.018	-0.02	11.359	2096.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.3	10	1200	0.005	0.6	2072	-0.137	0.022	-0.032	-0.034	11.261	2072.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.0	1	400	0.003	0.4	2099	0.447	0.025	-0.02	-0.032	13.35	2099.0	1.0	No nourishment | Conservation
low	0.7	0.1	0.5	1	800	0.003	0.4	2101	0.652	0.862	0.002	-0.009	161.196	2262.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.5	1	800	0.003	0.4	2101	0.584	0.477	-0.007	-0.025	38.257	2139.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.5	1	800	0.003	0.4	2101	0.511	0.032	-0.022	-0.051	1.509	2103.0	2.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.5	1	800	0.005	0.4	2101	0.614	0.825	0.002	-0.01	147.115	2248.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.5	1	800	0.005	0.4	2101	0.554	0.447	-0.008	-0.025	35.668	2137.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.1	0.5	1	800	0.005	0.4	2101	0.483	0.004	-0.023	-0.052	0.197	2101.0	2.0	Nourishment (annual) | Conservation
low	0.7	0.1	0.5	1	1200	0.003	0.4	2101	0.567	0.778	0.002	-0.008	158.947	2260.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.5	1	1200	0.003	0.4	2101	0.489	0.381	-0.007	-0.025	31.467	2132.0	3.0	Nourishment (annual) | Conservation
mean	0.7	0.1	0.5	5	800	0.003	0.4	2101	0.267	0.159	-0.011	-0.027	12.023	2113.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.5	5	800	0.003	0.4	2083	0.133	0.018	-0.022	-0.024	16.718	2083.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.5	5	800	0.005	0.4	2101	0.317	0.527	-0.002	-0.01	90.053	2191.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.5	5	800	0.005	0.4	2101	0.208	0.101	-0.013	-0.028	7.345	2108.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.5	5	800	0.005	0.4	2080	0.075	0.005	-0.023	-0.028	12.911	2080.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.5	5	1200	0.003	0.4	2101	0.225	0.436	-0.004	-0.01	78.148	2179.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.5	5	1200	0.003	0.4	2100	0.09	0.005	-0.017	-0.02	11.445	2100.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.5	5	1200	0.003	0.4	2074	-0.076	0.008	-0.029	-0.027	12.588	2074.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.1	0.5	5	1200	0.005	0.4	2101	0.15	0.361	-0.006	-0.011	56.974	2158.0	3.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.5	5	1200	0.005	0.4	2094	0.015	0.001	-0.018	-0.024	8.317	2094.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.1	0.5	5	1200	0.005	0.4	2070	-0.151	0.011	-0.032	-0.034	12.19	2070.0	1.0	Nourishment (5 years) | Conservation
mean	0.7	0.1	0.5	10	400	0.003	0.4	2101	0.414	0.307	-0.007	-0.031	18.869	2120.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.1	0.5	10	400	0.003	0.4	2094	0.308	0.023	-0.019	-0.036	10.583	2094.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.1	0.5	10	400	0.005	0.4	2101	0.456	0.667	0.001	-0.014	76.502	2178.0	4.0	Nourishment (10 years) | Conservation
