year	num_tides	season	high_water_height	size	jittered_height	jittered_tides
2041	7	autumn	1	15	0.9887584421174883	7.012568598530226
2041	23	summer	1.1	15	1.089491825326485	23.010241351196946
2041	23	winter	1.1	80	1.0982059383749483	22.99192612175761
2041	7	winter	1.7	80	1.6900532017140368	6.982999833689149
2041	10	summer	1.7	15	1.7123798534289005	9.990096768936473
2041	3	spring	1.7	15	1.6869302229010323	3.0180552095588613
2041	2	autumn	1.7	15	1.6869940263385623	2.0126887011714225
2041	36	spring	1.4	15	1.392455784637245	36.01679622992327
2041	24	autumn	1.2	15	1.1806604148370436	23.984404873401214
2041	17	spring	1.2	15	1.1987226083189135	16.992078153367743
2041	32	summer	1.2	15	1.1839521785549316	32.0033787269253
2041	30	winter	1.2	80	1.2159095191294822	29.99167560572992
2041	8	winter	1.6	80	1.5866433431725613	7.98224401051086
2041	10	summer	1.6	15	1.6093692578892682	10.004095987252658
2041	15	spring	1.6	15	1.609647837709847	14.997200146584415
2041	7	autumn	1.6	15	1.6159259340392247	7.010819422212025
2041	28	winter	1.5	80	1.5123585837618636	28.016716318954174
2041	28	summer	1.5	15	1.5194523248270269	28.00472669422104
2041	40	spring	1.5	15	1.5166846140425019	39.98873099746436
2041	40	autumn	1.5	15	1.4805080161323327	40.01946212971183
2041	25	autumn	1.3	15	1.293194456511587	24.992629684038477
2041	28	spring	1.3	15	1.2801884677457696	28.010895712047816
2041	36	summer	1.3	15	1.3123343094218878	35.98926290825117
2041	33	winter	1.3	80	1.2932247914904869	33.01140364542174
2041	33	winter	1.4	80	1.4017958945313767	32.9849211805406
2041	35	summer	1.4	15	1.3967802779302003	35.010458390532946
2041	15	spring	1.1	15	1.1169169423657315	15.012291046603446
2041	17	autumn	1.1	15	1.0997362769889047	16.99415859633897
2041	36	autumn	1.4	15	1.38319514163941	35.981948912468646
2041	8	spring	1	15	0.9866231650189866	8.010448624723544
2041	2	summer	1	15	0.9895469980680054	1.9801698751228891
2041	4	winter	1	80	1.0125710579951377	4.002545942268509
2042	30	summer	1.2	15	1.2110082410617264	29.999170658187026
2042	27	spring	1.3	15	1.3028578705975014	27.007922093971327
2042	29	autumn	1.3	15	1.300630153477607	28.998668572575685
2042	7	autumn	1	15	0.9898896861646476	6.991972130741505
2042	5	spring	1	15	0.9891593851686746	4.9857068434902905
2042	5	summer	1	15	0.9843083373901399	4.9823833180823085
2042	34	autumn	1.5	15	1.5115116956962134	34.00466959114898
2042	37	spring	1.5	15	1.5097973860252454	37.01502454046497
2042	20	summer	1.5	15	1.4893259883939045	20.00021210222074
2042	27	winter	1.5	80	1.4813768239766516	27.006436236702502
2042	24	summer	1.1	15	1.0856761247721267	23.99550276387594
2042	32	summer	1.3	15	1.3175424083010658	31.990043656992977
2042	19	spring	1.1	15	1.084285212826124	18.993378901662066
2042	17	autumn	1.1	15	1.115914079474487	16.980274398723747
2042	9	autumn	1.6	15	1.5918773961652037	8.990800388607624
2042	8	spring	1.6	15	1.6034882420182026	7.990924629443655
2042	19	summer	1.6	15	1.5943491865660937	19.000971998617693
2042	14	winter	1.6	80	1.6066455724592115	13.997012914453473
2042	26	autumn	1.2	15	1.202103021454335	25.996337686398586
2042	22	spring	1.2	15	1.2192541062931685	21.98374881027575
2042	31	winter	1.2	80	1.200447336162598	30.98768499769547
2042	26	winter	1.1	80	1.116733898587844	25.996132930142515
2042	33	winter	1.3	80	1.311582281490588	33.011656829332225
2042	4	winter	1	80	1.0114557854919461	3.9825330069508476
2042	40	autumn	1.4	15	1.4034199677745907	40.00623291756294
2042	42	spring	1.4	15	1.4169087849269235	42.012008055543404
2042	34	summer	1.4	15	1.3847124811473237	33.99018677084042
2042	5	autumn	1.7	15	1.700269012047309	4.987403508619294
2042	7	spring	1.7	15	1.7130642623426555	7.007719803420541
2042	7	summer	1.7	15	1.6925858005440857	7.011750200296362
2042	6	winter	1.7	80	1.7105936855401436	6.007991027199453
2042	31	winter	1.4	80	1.4085263999066833	30.991064332828476
2043	30	winter	1.3	80	1.3187652311314888	30.005288582455368
2043	13	autumn	1.1	15	1.089424492898458	12.995594626696473
2043	39	winter	1.4	80	1.3932929344438099	38.990231345684435
2043	6	winter	1	80	1.0154411682174551	5.989096720166308
2043	34	summer	1.4	15	1.3936299970701478	34.000744964201225
2043	33	spring	1.4	15	1.3814042582602732	32.996305451107794
2043	43	autumn	1.4	15	1.3958508890798427	43.016235113465655
2043	22	summer	1.6	15	1.583598584667162	22.00200208332945
2043	20	winter	1.6	80	1.597918232868468	20.012828147610534
2043	16	summer	1.1	15	1.0827446364678908	16.010122368352274
2043	15	spring	1.6	15	1.6199339418197816	14.988222129266415
2043	22	winter	1.2	80	1.1957025846814249	22.018779647091435
2043	28	summer	1.2	15	1.2166143783868313	28.009192926162367
2043	16	autumn	1.6	15	1.604268684269329	16.013200640111346
2043	20	winter	1.1	80	1.0959339616321515	19.99967665429625
2043	14	spring	1.1	15	1.0899089942375542	14.00896664837377
2043	22	summer	1.5	15	1.5109967367113204	21.982788760636808
2043	34	summer	1.3	15	1.3014059990039095	34.00971407168908
2043	31	spring	1.3	15	1.3032501325594301	31.013493470699874
2043	33	autumn	1.3	15	1.3132946331705566	32.992022661365276
2043	9	autumn	1.7	15	1.7023892234620246	9.010643461584957
2043	28	spring	1.2	15	1.199453344893628	27.98570654314374
2043	7	autumn	1	15	1.00414251499127	7.001620649268119
2043	6	spring	1	15	1.0068462501682796	6.001541978553567
2043	25	winter	1.5	80	1.4988489979967357	24.985880613561292
2043	7	spring	1.7	15	1.6873197519877605	6.981324547260667
2043	4	summer	1.7	15	1.717217907650077	3.9944917695009474
2043	8	summer	1	15	1.0130508140833359	7.991154947537013
2043	17	autumn	1.2	15	1.2000002618631842	16.989792272464168
2043	33	spring	1.5	15	1.4966653664526484	33.008007571899526
2043	7	winter	1.7	80	1.7133218254149563	7.0173364620877825
2043	28	autumn	1.5	15	1.4822618871473958	28.01559652928854
2044	13	autumn	1.1	15	1.081280577198174	12.9986176677904
2044	16	spring	1.1	15	1.0812158208634057	16.019303090199653
2044	18	summer	1.1	15	1.08249915735546	17.99879913318124
2044	8	winter	1	80	1.0170956661292991	7.9903354029398015
2044	20	summer	1.6	15	1.6131640113001307	19.99494658906949
2044	6	spring	1.7	15	1.7192373226146076	5.98435817295415
2044	10	summer	1.7	15	1.6903304399829142	9.997947465449473
2044	22	autumn	1.6	15	1.5951737623281939	22.015222775763547
2044	11	winter	1.7	80	1.6960077931954425	10.981874541362789
