year	num_tides	season	high_water_height	size	jittered_height	jittered_tides
2041	5	winter	2.2	80	2.1825618160159377	4.981277608733853
2041	32	spring	1.9	15	1.896973656319057	32.01132885069184
2041	37	autumn	1.9	15	1.890952976586123	36.987114455766786
2041	5	autumn	1.3	15	1.3014767804953256	5.003805539770828
2041	5	spring	1.3	15	1.2805649341520708	4.999945659093337
2041	4	spring	1.4	15	1.4080438503129704	3.9819937854854426
2041	2	winter	1.3	80	1.3018692917491468	2.0106224897699536
2041	28	winter	1.8	80	1.8030465230009791	28.003482798604768
2041	36	summer	1.8	15	1.813497027400591	36.00412099225376
2041	34	spring	1.8	15	1.8091291778999483	33.981206954609135
2041	30	autumn	1.8	15	1.8081752305414447	30.008826944223348
2041	7	summer	2.2	15	2.2083728854739166	7.01755069347071
2041	34	winter	1.7	80	1.6955082236085959	33.98776067845435
2041	31	summer	1.7	15	1.7012088983564624	31.012060203721017
2041	19	spring	1.7	15	1.6831634124795536	18.992008735321438
2041	26	autumn	1.7	15	1.698774359431678	26.010054470741288
2041	26	winter	1.6	80	1.6180471562647325	26.001642545437566
2041	23	summer	1.6	15	1.607962266641671	22.99711711229432
2041	16	spring	1.6	15	1.584368909062289	15.99889175394838
2041	15	autumn	1.6	15	1.5995639336151626	15.000514557922987
2041	10	winter	1.5	80	1.509942360359081	9.99219607917089
2041	11	summer	1.5	15	1.5005906295760902	11.002546208814652
2041	14	spring	1.5	15	1.4922029358173001	13.997636147019868
2041	9	autumn	1.5	15	1.5040836228758923	8.997307961427465
2041	2	winter	1.4	80	1.4125975346775328	2.016437987157775
2041	4	summer	1.4	15	1.412898271052008	4.0182234673194195
2041	23	summer	1.9	15	1.8836979284087074	23.01762636138479
2041	24	winter	1.9	80	1.9081286124431383	23.993665326081288
2041	3	summer	1.3	15	1.2880130107509973	2.9841714401370893
2041	7	autumn	1.4	15	1.3813377812705085	7.018825414858454
2041	20	summer	2.1	15	2.0999891218573996	20.010254268761965
2041	17	winter	2.1	80	2.097245706886484	17.018191326211177
2041	26	winter	2	80	1.9922214328624184	25.989681600414567
2041	10	autumn	2.1	15	2.085662764234958	10.018727923072356
2041	36	spring	2	15	1.981016273228582	36.01304066964509
2041	20	summer	2	15	2.018857150840895	20.016174174332733
2041	4	spring	1.2	15	1.1924047198697096	4.008469508272435
2041	30	autumn	2	15	2.007838358687508	30.018634336850177
2041	5	autumn	2.2	15	2.1805145818551583	5.000404747659834
2041	7	spring	2.2	15	2.2094854351961577	6.999293551248284
2041	3	autumn	1.2	15	1.1932537305695863	3.0183459476873846
2041	8	spring	2.1	15	2.115859179010691	8.00620764987881
2042	21	winter	2.1	80	2.08423871634315	21.017758966593824
2042	10	winter	1.5	80	1.4954738272397181	10.019929463120564
2042	14	summer	1.5	15	1.4805167284632508	14.00161920977765
2042	11	spring	1.5	15	1.4847362864994864	11.00045704512171
2042	10	summer	2.2	15	2.2079661192221978	10.01835626111415
2042	11	winter	2.2	80	2.202320789383285	11.013487687383229
2042	20	summer	2.1	15	2.094675321170651	20.0081530413721
2042	6	spring	2.2	15	2.1916723890915146	5.991602731628899
2042	6	autumn	2.2	15	2.2125629572600447	5.986761467284323
2042	5	winter	1.4	80	1.4145232817688993	5.017624136499014
2042	7	summer	1.4	15	1.3903395456344092	7.010828671692533
2042	8	spring	1.4	15	1.4034534209131042	7.9895759229994
2042	8	autumn	1.4	15	1.4130009034556825	8.014645913550554
2042	8	autumn	1.5	15	1.5052689596518016	7.992243193332375
2042	13	autumn	1.6	15	1.5997972777677711	12.982834649078473
2042	32	spring	1.9	15	1.8889297436965744	32.00302074319576
2042	17	summer	1.6	15	1.6045929307390265	16.98701507390705
2042	23	summer	1.9	15	1.8866425942550755	22.98055822714451
2042	27	winter	1.9	80	1.8824035250528095	27.003443723419405
2042	41	winter	1.8	80	1.818736823945659	40.98209696105395
2042	37	summer	1.8	15	1.8168664402864376	37.00889768643243
2042	32	spring	1.8	15	1.7823973779852054	31.98850135812664
2042	28	autumn	2	15	1.999919091126051	27.99390875589261
2042	32	autumn	1.8	15	1.7993401754003306	32.01664389290753
2042	30	spring	2	15	1.9964007703949056	29.990309168504826
2042	20	summer	2	15	1.998133643636832	20.008622125377407
2042	14	winter	2	80	1.983664008007256	13.98943735196447
2042	27	winter	1.7	80	1.6890607483496154	27.007050632202716
2042	29	summer	1.7	15	1.7105915329870334	29.01672324816775
2042	25	spring	1.7	15	1.6919989693700703	24.996717718835036
2042	20	autumn	1.7	15	1.6919213515711862	20.010830760234963
2042	17	autumn	2.1	15	2.094630206961004	17.019527749282183
2042	41	autumn	1.9	15	1.914006669712982	40.9811319929885
2042	18	winter	1.6	80	1.5872898163503937	17.980197940053692
2042	13	spring	1.6	15	1.619345115048926	12.99263931667226
2042	16	spring	2.1	15	2.0800677781249424	15.99906608587336
2042	1	summer	1.1	15	1.0902992937598073	1.0047557581323683
2042	4	autumn	1.3	15	1.301746640186429	4.005264384549562
2042	5	spring	1.3	15	1.2852067378247314	5.017657545357511
2042	1	summer	1.3	15	1.3007796689242068	1.0095741684000914
2043	40	autumn	1.9	15	1.906641772586911	39.98451670632999
2043	24	autumn	1.8	15	1.8067297868308434	23.98615868469382
2043	2	autumn	1.3	15	1.2934061001939605	2.0161690812227406
2043	4	spring	1.3	15	1.2910146055773157	4.015535379588386
2043	1	summer	1.3	15	1.3140110489504049	0.9972368593487776
2043	25	summer	1.7	15	1.6987782302182155	25.00692907403895
2043	21	spring	1.7	15	1.6871557177694536	21.006200316121458
2043	18	autumn	1.7	15	1.6917181560759182	18.005986163824897
2043	29	autumn	2	15	2.0056388360719137	28.99976353860093
2043	28	spring	2	15	2.004685972142433	28.00435470070158
2043	17	summer	2	15	1.989045392606304	16.99328435048091
2043	23	winter	2	80	1.9921262082085565	23.00414075940987
2043	40	spring	1.9	15	1.899685164319002	40.013634100567735
2043	17	winter	1.6	80	1.6011084363314423	17.01624488914473
2043	16	summer	1.6	15	1.601587807480163	15.992201300057927
2043	11	spring	1.6	15	1.6039478841527606	11.01996479837566
2043	14	autumn	1.6	15	1.5886367049960715	14.010478761568379
2043	2	spring	1.2	15	1.1908670504229444	1.989745448123174
2043	5	autumn	1.2	15	1.1852645134859587	5.0123025580863265
2043	22	autumn	2.1	15	2.084185475649279	21.988082295107755
2043	19	spring	2.1	15	2.1069724684985496	18.985785464576352
2043	21	summer	2.1	15	2.1072936523578347	20.99581364376737
2043	15	winter	2.1	80	2.0845282013011905	14.987535093523974
2043	9	autumn	1.5	15	1.5159819584606231	9.002629230622833
2043	13	spring	1.5	15	1.511411969851295	12.987771247249043
2043	11	summer	1.5	15	1.508256842965797	11.000171134906731
2043	14	winter	1.5	80	1.4951865010912138	13.987247182184218
2043	27	spring	1.8	15	1.8011686029506233	27.009282959712156
2043	45	summer	1.8	15	1.7821279400382508	44.99056525261758
2043	23	winter	1.7	80	1.718270930122862	23.014291012443685
2043	4	spring	2.2	15	2.210405831009324	4.0020984951080285
2043	19	winter	1.9	80	1.8824423529813894	19.011700371728914
2043	45	winter	1.8	80	1.7849446837567933	45.0015965075423
2043	12	summer	2.2	15	2.205278510338976	11.986874446844656
2043	14	winter	2.2	80	2.2178746199630526	14.003027047762401
2043	24	summer	1.9	15	1.8887743912327708	24.00280529750661
2043	6	autumn	2.2	15	2.208416291439455	5.9959615909104755
2043	5	winter	1.4	80	1.4178351710713386	5.016545086672791
2043	6	summer	1.4	15	1.4013956851788358	6.015160760425131
2043	9	spring	1.4	15	1.4092372419291446	9.011321719984563
2043	9	autumn	1.4	15	1.3892010118423863	8.99164396995249
2044	28	winter	1.9	80	1.8833285647598825	28.00283310863104
2044	38	autumn	2	15	1.9844219172292803	38.01392291868148
2044	34	spring	2	15	1.9840846377034755	33.982697800781644
