year	num_tides	season	high_water_height	size	jittered_height	jittered_tides
2041	10	autumn	1.1	15	1.0802968732546812	9.98869549875408
2041	30	summer	1.4	15	1.3894251244711906	30.010519810953685
2041	37	spring	1.4	15	1.391149116881585	36.984995428260774
2041	36	autumn	1.4	15	1.390850092400882	35.989553801255546
2041	7	autumn	1.7	15	1.71772724833122	6.984939506053784
2041	10	spring	1.7	15	1.681617334076465	10.019136959126325
2041	11	summer	1.7	15	1.6852862321644813	11.001931793501647
2041	18	spring	1.2	15	1.1840974323637554	17.99682906916173
2041	37	winter	1.3	80	1.2820011769876931	37.001413920463385
2041	38	summer	1.3	15	1.3193320692461508	38.000612075155715
2041	19	spring	1.3	15	1.2833469463735963	18.99945926537431
2041	25	autumn	1.3	15	1.28797005537898	24.98621006644807
2041	5	autumn	1.8	15	1.7926283588904837	5.002820270172063
2041	4	spring	1.8	15	1.8065101934340613	4.010564376200163
2041	7	summer	1.8	15	1.7847803480638231	7.015880887354936
2041	5	winter	1.8	80	1.8093621226292023	5.008262728198289
2041	25	winter	1.2	80	1.2189058263718633	24.987669851221106
2041	28	summer	1.2	15	1.2058313604719442	27.990820433576257
2041	23	winter	1.4	80	1.4005961841573147	22.998028900532546
2041	25	winter	1.6	80	1.6107352285799548	25.015677668087044
2041	12	winter	1.7	80	1.6867519056956353	11.996878993342014
2041	25	spring	1.6	15	1.5880961626162828	24.99961693655662
2041	7	spring	1.1	15	1.094034997143261	7.008999821170019
2041	6	summer	1.1	15	1.1095263365717924	6.011075473413458
2041	13	winter	1.1	80	1.0911441597231084	13.019653092327468
2041	23	summer	1.6	15	1.5846017900308451	23.014495810537483
2041	25	winter	1.5	80	1.5180959886459449	25.002148552045558
2041	22	summer	1.5	15	1.485471292156487	22.015191245074963
2041	37	spring	1.5	15	1.4802840247838598	37.00321612410051
2041	41	autumn	1.5	15	1.5153057568727744	41.00157392775957
2041	21	autumn	1.6	15	1.5856518044682448	21.017150842654882
2041	15	autumn	1.2	15	1.1814044215042616	15.00089889666196
2042	28	spring	1.3	15	1.2958100371504742	28.010594992427553
2042	11	autumn	1.1	15	1.1158054906925896	11.000507834273606
2042	5	spring	1.1	15	1.088077831959118	5.002731632555833
2042	5	summer	1.1	15	1.099230663000932	4.981703500139408
2042	7	winter	1.1	80	1.1099929297665672	6.9940106569644716
2042	4	spring	1.8	15	1.7878814752471641	4.000062033377394
2042	4	summer	1.8	15	1.816849302049811	4.017658695686491
2042	24	winter	1.5	80	1.5021100643911163	24.002099613320002
2042	22	autumn	1.3	15	1.28126589448162	22.008002401390804
2042	7	winter	1.8	80	1.792379108859387	7.01133784904475
2042	33	summer	1.3	15	1.314465830126163	32.99931684500372
2042	34	winter	1.3	80	1.297842555902553	33.988514748132694
2042	20	winter	1.6	80	1.6163474075008535	19.983278074577626
2042	20	summer	1.6	15	1.609740213439591	19.982208354722427
2042	17	winter	1.7	80	1.7143456648180322	16.99113070391575
2042	22	summer	1.7	15	1.6892896070287386	21.991850605713683
2042	5	autumn	1.8	15	1.78470347294458	5.012983348405164
2042	11	autumn	1.7	15	1.6891039373797974	10.981974380487452
2042	25	autumn	1.6	15	1.5926210289511589	25.01781804850859
2042	35	winter	1.4	80	1.4036279645028282	34.985648326474085
2042	38	summer	1.4	15	1.3854527527146916	38.01897153858676
2042	35	spring	1.4	15	1.409726313256087	34.994250053277256
2042	40	autumn	1.4	15	1.3814863011791954	40.012605102535524
2042	22	spring	1.6	15	1.5926457149708377	21.982619646051223
2042	9	autumn	1.2	15	1.2093844424335511	9.005647223965918
2042	15	spring	1.2	15	1.2011924258564823	15.011135912137414
2042	20	summer	1.2	15	1.2058827648170491	19.997621886588615
2042	13	spring	1.7	15	1.680448100695528	12.992795201563236
2042	18	winter	1.2	80	1.2087809385033192	18.01857889347737
2042	35	spring	1.5	15	1.5057249552374619	35.01933484727277
2042	18	summer	1.5	15	1.4847289701356392	17.991267633046707
2042	39	autumn	1.5	15	1.5129432146567683	39.008194321489185
2043	3	autumn	1.8	15	1.8081062389221034	2.994046943760468
2043	3	spring	1.8	15	1.810471554719094	2.9959034794374118
2043	8	summer	1.8	15	1.7971587630948962	8.000883079150455
2043	8	winter	1.8	80	1.8105294401294534	8.015506956864744
2043	21	winter	1.2	80	1.2140253033305781	21.00485354847532
2043	20	summer	1.2	15	1.1826221698293238	20.001287457529102
2043	11	autumn	1.2	15	1.1807459014524102	11.000541637731024
2043	16	spring	1.2	15	1.2149887114675901	15.986661979335658
2043	33	spring	1.4	15	1.415415566925146	32.99784372934174
2043	42	autumn	1.5	15	1.480469625938606	42.0045763170242
2043	29	autumn	1.4	15	1.3993300308479715	28.996269525837032
2043	42	winter	1.4	80	1.3877208379037551	41.988757735522725
2043	19	winter	1.6	80	1.5858272633453934	18.99219250992166
2043	22	summer	1.6	15	1.599533437221687	22.000343065963467
2043	23	spring	1.6	15	1.6133481558415903	23.012751481845587
2043	20	autumn	1.6	15	1.5961158136709304	19.986859627624664
2043	22	autumn	1.7	15	1.6908255903997151	22.019126961823748
2043	14	spring	1.7	15	1.718223397891637	13.99830164278769
2043	17	summer	1.7	15	1.6884904391668876	17.009153598522225
2043	18	winter	1.7	80	1.7063754419779644	18.005334408762092
2043	23	summer	1.5	15	1.5019849619975463	22.99756131958208
2043	29	summer	1.3	15	1.286517375944511	28.98028958429128
2043	19	spring	1.3	15	1.28675894047151	19.011668792897716
2043	21	autumn	1.3	15	1.313734325063614	20.992429419545708
2043	37	summer	1.4	15	1.3996613489369873	37.00234507691603
2043	40	spring	1.5	15	1.4807847662491795	39.984140531527274
2043	30	winter	1.3	80	1.2929989596139686	30.00112850192821
2043	18	winter	1.5	80	1.4809671142459888	18.007117851977913
2043	7	autumn	1.1	15	1.0808837753291278	7.00549653399102
2043	8	spring	1.1	15	1.088871159749344	7.988841018659828
2043	7	summer	1.1	15	1.0895812516936951	6.987061595413467
2043	4	winter	1.1	80	1.0811027524848502	4.012604163897423
2044	20	autumn	1.3	15	1.3070346394326875	20.007351273837635
2044	15	autumn	1.2	15	1.2012827391997611	15.01684058564198
2044	10	spring	1.2	15	1.1836390868448494	10.01091814023464
2044	16	summer	1.2	15	1.212572060908023	15.996989996848699
2044	22	winter	1.2	80	1.2018210509742087	21.9804211900363
2044	21	spring	1.3	15	1.2980979208206163	21.000626816290215
2044	38	summer	1.3	15	1.2998137558260432	38.018666137421214
2044	33	winter	1.3	80	1.3069798611701768	32.99735200981069
2044	30	spring	1.4	15	1.4032001923950594	29.98613372993135
2044	36	summer	1.4	15	1.380633447115073	36.012207608819544
2044	28	winter	1.6	80	1.6158017024281668	28.015376345892548
2044	22	autumn	1.4	15	1.4167126604483402	21.980270720504976
2044	15	autumn	1.7	15	1.7168644911721933	15.005756220721686
2044	20	spring	1.7	15	1.7106300295583317	20.00709502958463
2044	14	summer	1.7	15	1.6834684047372448	14.017886835811641
2044	13	winter	1.7	80	1.7029612073817189	12.988018094100909
2044	33	winter	1.4	80	1.4159740134138237	32.98272236198965
2044	30	spring	1.6	15	1.5827557855975387	30.004012985063753
2044	18	summer	1.6	15	1.582224324112076	17.983733352281543
2044	38	spring	1.5	15	1.4864410898419136	37.982103151909655
2044	6	autumn	1.1	15	1.0924979438038551	6.018019358902821
2044	10	spring	1.1	15	1.092132238941198	10.019329370355859
2044	9	summer	1.1	15	1.0876993474324144	8.991561667324898
2044	1	summer	1.9	15	1.8989296806012517	1.005323016470314
